Song,Artist,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Cluster
Sooner Or Later,Aaron Carter,0.737,0.731,5,-6.787,0,0.0358,0.12,1.29e-05,0.0731,0.435,111.955,1
Hometown Glory,Adele,0.451,0.336,10,-8.517,0,0.0368,0.962,3.41e-05,0.102,0.211,122.299,2
Cartoon Heroes - Radio Edit,Aqua,0.679,0.989,1,-3.896,1,0.0517,0.0195,0.0,0.0588,0.801,128.03,5
Breathe Slow,Alesha Dixon,0.722,0.638,8,-5.026,0,0.0327,0.249,0.0,0.31,0.459,120.004,1
Broken Heels - Single Mix,Alexandra Burke,0.628,0.774,1,-3.876,1,0.127,0.032,0.0,0.422,0.392,166.032,7
Rock Steady,All Saints,0.625,0.93,9,-3.405,0,0.0646,0.00982,2.05e-05,0.42,0.768,137.015,7
Shine,Aswad,0.764,0.87,2,-5.54,0,0.0519,0.0153,0.00222,0.0545,0.532,104.982,1
Fuck Me Pumps,Amy Winehouse,0.89,0.48,7,-6.914,1,0.103,0.0715,0.0,0.11,0.653,102.999,5
Don't Worry - Single Version,Appleton,0.494,0.533,4,-9.567,1,0.0268,0.00361,0.000115,0.136,0.249,145.864,3
Same Old Brand New You,A1,0.809,0.918,11,-4.347,0,0.0348,0.0951,0.000225,0.0672,0.645,107.011,1
I'm All About You,Aaron Carter,0.671,0.646,0,-7.544,1,0.0267,0.0629,0.0,0.0862,0.374,91.984,0
It's OK!,Atomic Kitten,0.658,0.557,2,-4.292,1,0.0312,0.038,0.0,0.385,0.49,89.996,7
Around The World,Aqua,0.705,0.976,6,-4.261,1,0.0309,0.00213,0.000158,0.342,0.967,129.952,7
The Boy Does Nothing,Alesha Dixon,0.632,0.972,3,-2.423,0,0.121,0.121,7.74e-05,0.0317,0.845,87.0,1
The Call,Backstreet Boys,0.696,0.874,10,-3.318,0,0.0772,0.117,0.0,0.331,0.747,104.196,1
Day And Night - StarGate Mix,Billie Piper,0.711,0.83,5,-3.372,0,0.0338,0.555,0.000132,0.059,0.924,105.987,1
Don't Lie,Black Eyed Peas,0.652,0.787,6,-5.291,0,0.174,0.157,0.0,0.0603,0.596,89.893,1
Too Close,Blue,0.789,0.761,2,-2.905,1,0.0377,0.00673,0.0,0.0372,0.735,102.422,5
Full Moon,Brandy,0.611,0.654,10,-4.823,0,0.139,0.372,0.00432,0.0926,0.609,105.922,1
Real to Me,Brian McFadden,0.381,0.581,3,-6.977,1,0.0289,0.0173,0.0,0.142,0.185,165.741,3
Piece of Me,Britney Spears,0.769,0.638,11,-5.054,1,0.216,0.0902,0.0,0.0857,0.782,115.007,5
The Last Goodbye,Atomic Kitten,0.671,0.635,6,-5.534,1,0.0682,0.234,0.000855,0.0885,0.918,83.015,5
Back To The 80´s,Aqua,0.7,0.77,6,-5.172,1,0.0332,0.00422,6.2e-05,0.0679,0.791,128.017,5
Sleeping With The Light On,Busted,0.456,0.614,8,-8.589,1,0.0259,0.00503,0.0,0.0656,0.605,173.945,3
Incomplete,Backstreet Boys,0.437,0.589,4,-4.834,1,0.0331,0.231,0.0,0.0768,0.165,133.631,3
Show Me What I'm Looking For,Carolina Liar,0.449,0.864,9,-1.159,0,0.0378,0.0133,1.31e-06,0.0984,0.355,105.121,1
Let's Get It Started - Spike Mix,Black Eyed Peas,0.783,0.794,11,-2.231,0,0.12,0.105,0.0,0.304,0.803,104.953,1
If You Come Back,Blue,0.582,0.707,10,-4.487,1,0.0319,0.0822,0.0,0.0467,0.701,78.375,5
Taking Chances,Céline Dion,0.266,0.536,2,-5.613,1,0.0357,0.0198,0.0,0.157,0.25,176.063,3
Almost Here,Brian McFadden,0.561,0.452,9,-7.324,0,0.0336,0.409,0.0,0.106,0.316,77.984,0
Radar,Britney Spears,0.642,0.722,4,-4.845,0,0.167,0.293,0.0,0.337,0.513,127.959,1
If You Come To Me,Atomic Kitten,0.664,0.868,10,-3.654,1,0.0432,0.118,0.00135,0.0894,0.87,80.805,5
Crazy Chick,Charlotte Church,0.665,0.94,0,-2.788,1,0.0313,0.0171,1.07e-06,0.107,0.774,134.903,5
3 Words,Cheryl,0.75,0.58,9,-7.505,1,0.0319,0.713,0.00318,0.0986,0.51,130.024,2
AM To PM,Christina Milian,0.87,0.876,0,-2.999,0,0.117,0.146,1.55e-05,0.841,0.861,104.985,7
Rock That Body,Black Eyed Peas,0.715,0.907,7,-6.025,0,0.0993,0.0172,8.39e-05,0.426,0.841,124.992,7
Fly By II,Blue,0.762,0.677,2,-3.885,0,0.0413,0.0248,0.0,0.0787,0.741,96.686,1
Fallin' For You,Colbie Caillat,0.645,0.825,4,-6.473,1,0.0273,0.161,0.0,0.114,0.641,117.037,5
Gotta Get Thru This - D'N'D Radio Edit,Daniel Bedingfield,0.838,0.764,7,-5.076,0,0.0586,0.0862,0.000122,0.0906,0.924,133.592,1
Break the Ice,Britney Spears,0.712,0.911,5,-3.866,0,0.0445,0.689,8.02e-06,0.107,0.85,117.533,1
Someone Like Me,Atomic Kitten,0.624,0.285,10,-11.067,1,0.0309,0.96,2.72e-05,0.114,0.316,109.845,2
I Begin to Wonder,Dannii Minogue,0.768,0.741,1,-9.252,0,0.0423,0.0234,7.2e-05,0.242,0.95,125.06,1
Parachute,Cheryl,0.8,0.729,0,-6.911,1,0.0416,0.00704,0.000565,0.115,0.837,116.025,5
Candyman,Christina Aguilera,0.686,0.789,8,-4.713,0,0.23,0.0125,0.0147,0.142,0.72,172.976,1
When You Look At Me - Radio Edit,Christina Milian,0.963,0.835,3,-3.394,0,0.137,0.08,0.000217,0.0774,0.852,108.976,1
Colourblind,Darius,0.737,0.652,2,-4.393,1,0.0335,0.038,0.0,0.0699,0.881,108.175,5
Guilty,Blue,0.557,0.636,6,-4.796,1,0.0282,0.105,4.95e-06,0.241,0.421,78.797,0
I Never Told You,Colbie Caillat,0.498,0.634,3,-5.214,1,0.0288,0.166,0.0,0.3,0.36,144.104,3
Never Gonna Leave Your Side,Daniel Bedingfield,0.505,0.569,7,-6.332,1,0.0303,0.314,0.0,0.434,0.346,140.022,7
Overprotected - Radio Edit,Britney Spears,0.682,0.894,0,-1.73,0,0.0727,0.0381,0.0,0.416,0.845,95.992,7
Eternal Flame - Single Version,Atomic Kitten,0.578,0.581,0,-6.867,1,0.0318,0.0658,0.0042,0.0674,0.408,83.293,0
Insatiable,Darren Hayes,0.67,0.847,0,-5.449,0,0.0545,0.0974,0.0,0.0842,0.852,143.872,1
The Time of My Life,David Cook,0.414,0.578,8,-6.383,1,0.0287,0.0541,0.0,0.124,0.281,154.96,3
Hurt,Christina Aguilera,0.327,0.295,4,-6.907,0,0.0313,0.775,0.0,0.107,0.143,148.574,2
